1,274052694.000000
1,239639837.000000
1,356371676.000000
1,326469337.000000
1,1291071448.000000
1,486205037.000000
1,316898368.000000
1,485406263.000000
1,320790219.000000
1,388136696.000000
3,133708761.000000
3,229609891.000000
3,242240001.000000
3,206908670.000000
3,152552112.000000
3,154103233.000000
3,237814179.000000
3,175606226.000000
3,136233904.000000
3,254852301.000000
5,116289698.000000
5,216681980.000000
5,144516866.000000
5,141486789.000000
5,174222566.000000
5,88267877.000000
5,153580585.000000
5,133389706.000000
5,195007729.000000
5,150273429.000000
8,156743290.000000
8,128848950.000000
8,155580322.000000
8,134902614.000000
8,133412343.000000
8,145195121.000000
8,143401324.000000
8,152146336.000000
8,129914547.000000
8,185430263.000000
